origin_id	cityname	equal_id	equal_cityname
6	重庆涪陵	9	重庆
7	重庆黔江	9	重庆
8	重庆万州	9	重庆
10	辽宁沈阳	379	辽宁沈阳/抚顺/铁岭
13	四川成都	378	四川成都/眉山/资阳
14	陕西西安	375	陕西西安/咸阳
53	河南潢川	43	河南信阳
55	辽宁铁岭	379	辽宁沈阳/抚顺/铁岭
58	辽宁抚顺	379	辽宁沈阳/抚顺/铁岭
77	吉林珲春	70	吉林延边
78	吉林梅河口	72	吉林通化
98	内蒙古乌兰察布市	97	内蒙古乌兰察布市
101	内蒙古鄂尔多斯市	93	内蒙古鄂尔多斯市
102	内蒙古巴彦淖尔市	103	内蒙古巴彦淖尔市
105	内蒙古兴安盟	106	内蒙古兴安盟
108	内蒙古阿拉善盟	107	内蒙古阿拉善盟
112	江苏苏州	111	江苏苏州
142	安徽亳州	367	安徽阜阳/亳州
143	安徽阜阳	367	安徽阜阳/亳州
177	广东潮阳	215	广东汕头
193	湖北十堰	380	湖北十堰/神农架
198	湖南长沙	376	湖南长沙/湘潭/株洲
199	湖南湘潭	376	湖南长沙/湘潭/株洲
200	湖南株洲	376	湖南长沙/湘潭/株洲
224	广东顺德	218	广东佛山
229	广西南宁	377	广西南宁/崇左
230	广西来宾	368	广西柳州/来宾
231	广西柳州	368	广西柳州/来宾
233	广西贺州	369	广西梧州/贺州
234	广西梧州	369	广西梧州/贺州
235	广西贵港	370	广西玉林/贵港
236	广西玉林	370	广西玉林/贵港
262	四川资阳	378	四川成都/眉山/资阳
264	四川眉山	378	四川成都/眉山/资阳
266	四川凉山	263	四川凉山
298	海南儋州	366	海南
306	海南海口	366	海南
307	海南三亚	366	海南
315	陕西咸阳	375	陕西西安/咸阳
329	甘肃金昌	373	甘肃金昌/武威
330	甘肃武威	373	甘肃金昌/武威
332	甘肃嘉峪关	374	甘肃酒泉/嘉峪关
333	甘肃酒泉	374	甘肃酒泉/嘉峪关
343	青海海晏	351	青海海北州
347	青海共和	352	青海海南州
350	青海德令哈	353	青海海西州
359	新疆昌吉	381	新疆昌吉/五家渠市
362	新疆阿克苏	382	新疆阿克苏/阿拉尔市
363	新疆喀什	383	新疆喀什/图木舒克市
365	广西崇左	377	广西南宁/崇左
371	四川内江/资阳	378	四川成都/眉山/资阳
372	四川乐山/眉山	378	四川成都/眉山/资阳
384	河南济源	47	河南焦作
385	湖北神农架	380	湖北十堰/神农架
387	新疆图木舒克	383	新疆喀什/图木舒克市
