_id	CN	province_cn	city_cn	US	province_us	city_us	TW	province_tw	city_tw	HK	province_hk	city_hk
1	未知归属地	未知归属地	null	Unknown City	Unknown City	null	不明歸屬地	不明歸屬地	null	未知歸屬地	未知歸屬地	null
2	北京	北京	null	Beijing	Beijing	null	北京	北京	null	北京	北京	null
3	广东广州	广东省	广州市	Guangzhou, Guangdong	Guangdong	Guangzhou	廣東廣州	廣東省	廣州市	廣東廣州	廣東省	廣州市
4	上海	上海	null	Shanghai	Shanghai	null	上海	上海	null	上海	上海	null
5	天津	天津	null	Tianjin	Tianjin	null	天津	天津	null	天津	天津	null
6	重庆涪陵	重庆	涪陵区	Fuling, Chongqing	Chongqing	Fuling	重慶涪陵	重慶	涪陵區	重慶涪陵	重慶	涪陵區
7	重庆黔江	重庆	黔江区	Qianjiang, Chongqing	Chongqing	Qianjiang	重慶黔江	重慶	黔江區	重慶黔江	重慶	黔江區
8	重庆万州	重庆	万州区	Wanzhou, Chongqing	Chongqing	Wanzhou	重慶萬州	重慶	萬州區	重慶萬州	重慶	萬州區
9	重庆	重庆	null	Chongqing	Chongqing	null	重慶	重慶	null	重慶	重慶	null
10	辽宁沈阳	辽宁省	沈阳市	Shenyang, Liaoning	Liaoning	Shenyang	遼寧瀋陽	遼寧省	瀋陽市	遼寧瀋陽	遼寧省	瀋陽市
11	江苏南京	江苏省	南京市	Nanjing, Jiangsu	Jiangsu	Nanjing	江蘇南京	江蘇省	南京市	江蘇南京	江蘇省	南京市
12	湖北武汉	湖北省	武汉市	Wuhan, Hubei	Hubei	Wuhan	湖北武漢	湖北省	武漢市	湖北武漢	湖北省	武漢市
13	四川成都	四川省	成都市	Chengdu, Sichuan	Sichuan	Chengdu	四川成都	四川省	成都市	四川成都	四川省	成都市
14	陕西西安	陕西省	西安市	Xi'an, Shaanxi	Shaanxi	Xi'an	陝西西安	陝西省	西安市	陝西西安	陝西省	西安市
15	河北邯郸	河北省	邯郸市	Handan, Hebei	Hebei	Handan	河北邯鄲	河北省	邯鄲市	河北邯鄲	河北省	邯鄲市
